기간,웃긴대학,아프리카TV,인벤,도탁스,오유,트위터,일베,이종락싸,인스티즈,네이트판,쭉빵여시
2016/03,0,0,0,0,0,0,0,0,0,0,0
2016/04,0,0,0,0,0,0,0,0,0,0,0
2016/05,0,0,0,0,0,0,0,0,0,0,0
2016/06,0,0,0,0,0,0,0,0,0,0,0
2016/07,0,0,0,0,0,0,0,0,0,0,0
2016/08,0,0,0,0,0,0,0,0,0,0,0
2016/09,0,0,0,0,0,0,0,0,0,0,0
2016/10,0,0,0,0,0,0,0,0,0,0,0
2016/11,0,0,0,0,0,0,0,0,0,0,0
2016/12,0,0,0,0,0,0,0,0,0,0,1
2017/01,0,0,0,0,0,0,8,0,18,2,21
2017/02,0,0,1,0,1,0,0,0,190,25,340
2017/03,0,0,2,1,3,0,1,1,239,29,680
2017/04,0,0,0,6,1,0,0,0,257,31,6270
2017/05,0,0,2,5,6,0,24,9,311,50,11483
2017/06,0,0,5,8,7,0,6,9,280,36,11781
